Absolute Time,PosXLeft,PosYLeft,R2_continuous,select ,alpha_VSP1,Current Mode ,omega_VSP1,u_BT,u_VSP1,f_bt,f_vspx,f_vspy,tau_x,tau_y,tau_yaw
3568703566.237714,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.247715,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.257714,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.267713,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.277715,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.287713,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.297715,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.307714,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.317713,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.327713,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.337714,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.347713,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.357716,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.367714,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.377714,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.387713,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.397713,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.407713,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.417715,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.427715,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
